GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Households receiving food stamps; Estimate; Households,Households receiving food stamps; Margin of Error; Households,Households not receiving food stamps; Estimate; Households,Households not receiving food stamps; Margin of Error; Households,Total; Estimate; With one or more people 60 years and over,Total; Margin of Error; With one or more people 60 years and over,Households receiving food stamps; Estimate; With one or more people 60 years and over,Households receiving food stamps; Margin of Error; With one or more people 60 years and over,Households not receiving food stamps; Estimate; With one or more people 60 years and over,Households not receiving food stamps; Margin of Error; With one or more people 60 years and over,Total; Estimate; With children under 18 years,Total; Margin of Error; With children under 18 years,Households receiving food stamps; Estimate; With children under 18 years,Households receiving food stamps; Margin of Error; With children under 18 years,Households not receiving food stamps; Estimate; With children under 18 years,Households not receiving food stamps; Margin of Error; With children under 18 years,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; DISABILITY STATUS - With one or more people with a disability,Total; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Households receiving food stamps; Estimate; Hispanic or Latino origin (of any race),Households receiving food stamps; Margin of Error; Hispanic or Latino origin (of any race),Households not receiving food stamps; Estimate; Hispanic or Latino origin (of any race),Households not receiving food stamps; Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Households receiving food stamps; Estimate; White alone, not Hispanic or Latino","Households receiving food stamps; Margin of Error; White alone, not Hispanic or Latino","Households not receiving food stamps; Estimate; White alone, not Hispanic or Latino","Households not receiving food stamps; Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Estimate; WORK STATUS - Families,Total; Margin of Error; WORK STATUS - Families,Households receiving food stamps; Estimate; WORK STATUS - Families,Households receiving food stamps; Margin of Error; WORK STATUS - Families,Households not receiving food stamps; Estimate; WORK STATUS - Families,Households not receiving food stamps; Margin of Error; WORK STATUS - Families,Total; Estimate; WORK STATUS - Families - No workers in past 12 months,Total; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - No workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - No workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Total; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Total; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Total; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Total; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Total; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Total; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency
8600000US03579,03579,ZCTA5 03579,269,46,12,10,257,49,54.3,8.0,41.7,41.0,54.9,8.2,9.7,5.1,33.3,42.9,8.6,5.3,12.6,6.3,58.3,41.0,10.5,6.3,35.7,7.7,58.3,45.2,34.6,7.8,98.1,3.1,83.3,45.0,98.8,1.8,98.1,3.1,83.3,45.0,98.8,1.8,0.0,10.5,0.0,82.3,0.0,11.0,0.0,10.5,0.0,82.3,0.0,11.0,0.0,10.5,0.0,82.3,0.0,11.0,0.0,10.5,0.0,82.3,0.0,11.0,0.0,10.5,0.0,82.3,0.0,11.0,1.9,3.1,16.7,45.0,1.2,1.8,3.7,5.1,0.0,82.3,3.9,5.4,94.4,5.8,83.3,45.0,94.9,5.7,40063,16705,13750,6784,40813,10795,127,30,5,8,122,30,27.6,12.2,0.0,100.0,28.7,12.8,15.0,7.2,60.0,60.0,13.1,6.8,57.5,13.1,40.0,60.0,58.2,13.3,0.0,(X),(X),(X),(X),(X)
8600000US03901,03901,ZCTA5 03901,2704,141,352,125,2352,179,32.3,5.6,34.4,17.4,32.0,6.1,37.1,5.1,46.3,19.8,35.7,6.1,7.7,3.7,31.8,16.5,4.1,3.1,27.3,6.7,60.5,19.1,22.3,6.8,97.2,3.1,100.0,6.2,96.8,3.5,97.2,3.1,100.0,6.2,96.8,3.5,0.0,0.8,0.0,6.2,0.0,1.0,0.0,0.8,0.0,6.2,0.0,1.0,0.0,0.8,0.0,6.2,0.0,1.0,0.0,0.8,0.0,6.2,0.0,1.0,0.0,0.8,0.0,6.2,0.0,1.0,2.8,3.1,0.0,6.2,3.2,3.5,1.2,1.7,0.0,6.2,1.4,2.0,96.0,3.5,100.0,6.2,95.4,4.0,64309,8301,21786,16455,70429,11772,2073,116,205,94,1868,152,8.2,3.5,7.3,12.7,8.2,3.6,33.1,7.5,67.3,23.8,29.3,8.0,58.8,7.1,25.4,19.5,62.4,7.7,0.7,(X),(X),(X),(X),(X)
8600000US03902,03902,ZCTA5 03902,1069,183,0,10,1069,183,52.9,11.3,-,**,52.9,11.3,13.5,7.4,-,**,13.5,7.4,11.0,9.4,-,**,11.0,9.4,28.2,13.0,-,**,28.2,13.0,100.0,2.1,-,**,100.0,2.1,93.2,7.2,-,**,93.2,7.2,0.0,2.1,-,**,0.0,2.1,0.0,2.1,-,**,0.0,2.1,4.6,6.0,-,**,4.6,6.0,0.0,2.1,-,**,0.0,2.1,2.2,3.6,-,**,2.2,3.6,0.0,2.1,-,**,0.0,2.1,0.0,2.1,-,**,0.0,2.1,93.2,7.2,-,**,93.2,7.2,72042,22278,-,**,72042,22278,549,142,0,10,549,142,28.8,16.4,-,**,28.8,16.4,21.5,12.4,-,**,21.5,12.4,49.7,16.3,-,**,49.7,16.3,0.0,(X),(X),(X),(X),(X)
8600000US03903,03903,ZCTA5 03903,2392,130,132,79,2260,152,44.3,4.8,46.2,29.8,44.2,5.1,30.7,4.3,0.0,15.6,32.5,4.4,7.4,3.7,45.5,31.5,5.2,3.2,23.2,5.6,20.5,24.7,23.3,5.8,99.3,1.0,100.0,15.6,99.3,1.1,98.6,1.7,100.0,15.6,98.5,1.8,0.7,1.3,0.0,15.6,0.8,1.3,0.0,0.9,0.0,15.6,0.0,1.0,0.0,0.9,0.0,15.6,0.0,1.0,0.0,0.9,0.0,15.6,0.0,1.0,0.0,0.9,0.0,15.6,0.0,1.0,0.7,1.0,0.0,15.6,0.7,1.1,2.5,3.1,0.0,15.6,2.6,3.2,96.2,3.5,100.0,15.6,95.9,3.6,79403,6004,21000,21610,80979,5714,1635,135,84,66,1551,133,7.8,4.2,32.1,37.9,6.5,3.9,18.8,6.4,0.0,23.2,19.9,6.8,73.3,7.1,67.9,37.9,73.6,7.3,0.9,(X),(X),(X),(X),(X)
8600000US03904,03904,ZCTA5 03904,3586,252,185,79,3401,256,40.2,4.3,63.2,20.9,39.0,4.2,19.8,3.7,28.1,22.1,19.3,4.0,6.9,3.5,44.3,24.6,4.9,3.5,22.2,4.9,48.6,24.0,20.8,5.0,100.0,0.6,100.0,11.4,100.0,0.7,96.0,2.7,96.2,7.3,96.0,2.8,2.0,2.1,0.0,11.4,2.1,2.2,0.2,0.4,3.8,7.3,0.0,0.7,1.4,1.3,0.0,11.4,1.4,1.4,0.0,0.6,0.0,11.4,0.0,0.7,0.4,0.7,0.0,11.4,0.5,0.8,0.0,0.6,0.0,11.4,0.0,0.7,1.8,1.5,0.0,11.4,1.9,1.6,94.6,3.0,96.2,7.3,94.5,3.2,59521,10380,17148,11289,65162,11339,2083,187,86,51,1997,190,11.4,4.1,17.4,25.2,11.2,4.1,30.6,6.5,39.5,31.8,30.2,6.5,58.0,6.5,43.0,32.8,58.6,6.3,1.6,(X),(X),(X),(X),(X)
8600000US03905,03905,ZCTA5 03905,778,147,0,10,778,147,65.4,13.4,-,**,65.4,13.4,13.1,8.6,-,**,13.1,8.6,6.8,7.9,-,**,6.8,7.9,20.2,13.7,-,**,20.2,13.7,100.0,2.8,-,**,100.0,2.8,100.0,2.8,-,**,100.0,2.8,0.0,2.8,-,**,0.0,2.8,0.0,2.8,-,**,0.0,2.8,0.0,2.8,-,**,0.0,2.8,0.0,2.8,-,**,0.0,2.8,0.0,2.8,-,**,0.0,2.8,0.0,2.8,-,**,0.0,2.8,0.0,2.8,-,**,0.0,2.8,100.0,2.8,-,**,100.0,2.8,62500,22353,-,**,62500,22353,448,126,0,10,448,126,25.4,16.1,-,**,25.4,16.1,26.3,14.9,-,**,26.3,14.9,48.2,19.7,-,**,48.2,19.7,1.8,(X),(X),(X),(X),(X)
8600000US03906,03906,ZCTA5 03906,1818,122,151,71,1667,135,35.4,4.1,24.5,19.1,36.4,4.5,28.3,4.3,39.1,24.0,27.4,4.8,6.2,3.9,23.8,18.9,4.6,4.0,24.3,4.8,54.3,26.2,21.5,4.8,99.3,1.2,100.0,13.8,99.3,1.3,99.3,1.2,100.0,13.8,99.3,1.3,0.0,1.2,0.0,13.8,0.0,1.3,0.0,1.2,0.0,13.8,0.0,1.3,0.0,1.2,0.0,13.8,0.0,1.3,0.0,1.2,0.0,13.8,0.0,1.3,0.0,1.2,0.0,13.8,0.0,1.3,0.7,1.2,0.0,13.8,0.7,1.3,0.6,0.8,4.6,8.4,0.2,0.5,98.7,1.5,95.4,8.4,99.0,1.4,72991,10834,28875,28593,76458,9084,1349,123,96,53,1253,144,13.3,4.2,13.5,16.6,13.2,4.5,28.5,7.2,58.3,26.8,26.2,7.3,58.3,7.4,28.1,25.0,60.6,7.5,0.6,(X),(X),(X),(X),(X)
8600000US03907,03907,ZCTA5 03907,594,98,22,29,572,97,63.1,9.6,22.7,52.0,64.7,9.3,6.9,5.4,0.0,52.6,7.2,5.6,3.7,2.5,9.1,30.0,3.5,2.4,32.3,9.5,86.4,34.6,30.2,9.4,100.0,3.7,100.0,52.6,100.0,3.9,100.0,3.7,100.0,52.6,100.0,3.9,0.0,3.7,0.0,52.6,0.0,3.9,0.0,3.7,0.0,52.6,0.0,3.9,0.0,3.7,0.0,52.6,0.0,3.9,0.0,3.7,0.0,52.6,0.0,3.9,0.0,3.7,0.0,52.6,0.0,3.9,0.0,3.7,0.0,52.6,0.0,3.9,0.0,3.7,0.0,52.6,0.0,3.9,100.0,3.7,100.0,52.6,100.0,3.9,61750,12556,26324,41362,64167,12791,319,72,0,10,319,72,33.2,12.0,-,**,33.2,12.0,35.4,14.0,-,**,35.4,14.0,31.3,11.8,-,**,31.3,11.8,1.7,(X),(X),(X),(X),(X)
8600000US03908,03908,ZCTA5 03908,2688,172,336,139,2352,188,32.8,5.1,68.5,18.0,27.7,5.5,40.4,5.4,39.9,19.6,40.4,6.9,8.6,5.0,36.0,22.7,4.7,3.5,21.9,6.2,58.0,21.4,16.8,6.2,96.9,2.5,80.7,18.3,99.2,1.1,96.7,2.4,80.7,18.3,98.9,1.2,0.0,0.8,0.0,6.5,0.0,1.0,0.0,0.8,0.0,6.5,0.0,1.0,0.3,0.5,0.0,6.5,0.3,0.5,0.0,0.8,0.0,6.5,0.0,1.0,0.0,0.8,0.0,6.5,0.0,1.0,3.1,2.5,19.3,18.3,0.8,1.1,0.0,0.8,0.0,6.5,0.0,1.0,96.7,2.4,80.7,18.3,98.9,1.2,75341,19238,23833,11844,80903,11464,1920,139,201,100,1719,154,7.3,3.9,23.9,20.5,5.4,3.1,18.3,6.4,31.8,25.7,16.7,6.6,74.4,7.1,44.3,23.0,77.9,7.1,0.8,(X),(X),(X),(X),(X)
8600000US03909,03909,ZCTA5 03909,4364,293,201,107,4163,311,45.4,4.7,45.8,26.9,45.4,5.1,21.5,3.2,7.0,11.6,22.2,3.5,6.9,2.8,17.9,17.6,6.4,2.9,20.9,4.1,32.3,25.3,20.4,4.2,99.5,0.6,100.0,10.6,99.4,0.7,98.8,1.0,100.0,10.6,98.8,1.0,0.0,0.5,0.0,10.6,0.0,0.5,0.0,0.5,0.0,10.6,0.0,0.5,0.7,0.7,0.0,10.6,0.7,0.8,0.0,0.5,0.0,10.6,0.0,0.5,0.0,0.5,0.0,10.6,0.0,0.5,0.5,0.6,0.0,10.6,0.6,0.7,1.2,1.3,16.9,22.0,0.4,0.7,97.6,1.5,83.1,22.0,98.3,1.2,69571,11268,32813,23974,75306,12628,2868,245,83,53,2785,260,18.8,5.2,14.5,22.1,18.9,5.2,26.1,5.9,33.7,32.2,25.9,5.9,55.1,6.6,51.8,35.0,55.2,6.7,0.6,(X),(X),(X),(X),(X)
8600000US03910,03910,ZCTA5 03910,184,122,0,10,184,122,37.0,34.2,-,**,37.0,34.2,24.5,34.0,-,**,24.5,34.0,0.0,11.5,-,**,0.0,11.5,29.9,34.5,-,**,29.9,34.5,100.0,11.5,-,**,100.0,11.5,100.0,11.5,-,**,100.0,11.5,0.0,11.5,-,**,0.0,11.5,0.0,11.5,-,**,0.0,11.5,0.0,11.5,-,**,0.0,11.5,0.0,11.5,-,**,0.0,11.5,0.0,11.5,-,**,0.0,11.5,0.0,11.5,-,**,0.0,11.5,0.0,11.5,-,**,0.0,11.5,100.0,11.5,-,**,100.0,11.5,51875,8747,-,**,51875,8747,129,106,0,10,129,106,10.1,17.6,-,**,10.1,17.6,42.6,45.7,-,**,42.6,45.7,47.3,45.8,-,**,47.3,45.8,0.0,(X),(X),(X),(X),(X)
8600000US03911,03911,ZCTA5 03911,80,69,52,66,28,21,35.0,39.2,0.0,33.5,100.0,46.6,0.0,24.2,0.0,33.5,0.0,46.6,65.0,39.2,100.0,33.5,0.0,46.6,0.0,24.2,0.0,33.5,0.0,46.6,100.0,24.2,100.0,33.5,100.0,46.6,100.0,24.2,100.0,33.5,100.0,46.6,0.0,24.2,0.0,33.5,0.0,46.6,0.0,24.2,0.0,33.5,0.0,46.6,0.0,24.2,0.0,33.5,0.0,46.6,0.0,24.2,0.0,33.5,0.0,46.6,0.0,24.2,0.0,33.5,0.0,46.6,0.0,24.2,0.0,33.5,0.0,46.6,0.0,24.2,0.0,33.5,0.0,46.6,100.0,24.2,100.0,33.5,100.0,46.6,9423,143569,-,**,-,**,28,21,0,10,28,21,50.0,50.0,-,**,50.0,50.0,0.0,46.6,-,**,0.0,46.6,50.0,50.0,-,**,50.0,50.0,0.0,(X),(X),(X),(X),(X)
8600000US04001,04001,ZCTA5 04001,941,65,129,49,812,89,40.3,6.6,31.0,16.3,41.7,7.1,25.4,5.6,67.4,17.1,18.7,5.3,7.9,4.0,29.5,21.3,4.4,2.6,30.7,5.9,57.4,20.3,26.5,6.3,98.7,1.3,100.0,15.9,98.5,1.5,97.0,2.9,87.6,17.6,98.5,1.5,0.0,2.4,0.0,15.9,0.0,2.7,1.7,2.6,12.4,17.6,0.0,2.7,0.0,2.4,0.0,15.9,0.0,2.7,0.0,2.4,0.0,15.9,0.0,2.7,0.0,2.4,0.0,15.9,0.0,2.7,1.3,1.3,0.0,15.9,1.5,1.5,0.0,2.4,0.0,15.9,0.0,2.7,97.0,2.9,87.6,17.6,98.5,1.5,60625,4777,45982,21149,62308,4444,731,53,101,43,630,79,19.7,5.9,9.9,12.3,21.3,6.5,28.0,7.4,62.4,23.0,22.5,6.7,52.3,7.7,27.7,19.7,56.2,7.3,1.1,(X),(X),(X),(X),(X)
8600000US04002,04002,ZCTA5 04002,2910,198,427,125,2483,197,38.9,4.4,28.6,10.8,40.7,5.2,27.5,4.7,56.2,14.3,22.6,5.4,9.1,3.5,47.8,19.1,2.4,1.7,29.4,4.7,41.2,13.4,27.4,5.2,99.7,0.5,100.0,5.1,99.7,0.5,99.7,0.5,100.0,5.1,99.7,0.5,0.0,0.8,0.0,5.1,0.0,0.9,0.0,0.8,0.0,5.1,0.0,0.9,0.0,0.8,0.0,5.1,0.0,0.9,0.0,0.8,0.0,5.1,0.0,0.9,0.0,0.8,0.0,5.1,0.0,0.9,0.3,0.5,0.0,5.1,0.3,0.5,1.5,2.0,0.0,5.1,1.8,2.3,98.2,1.8,100.0,5.1,97.9,2.1,56984,6072,22679,20558,62830,5887,2006,138,277,93,1729,158,13.3,4.1,8.3,6.9,14.1,4.7,30.1,6.0,54.2,27.9,26.2,6.2,56.7,6.7,37.5,27.4,59.7,6.4,0.7,(X),(X),(X),(X),(X)
